"","Estimate","Std. Error","z value","Pr(>|z|)"
"Nod_count:Strain024",-0.0478630525257494,0.128888461938593,-0.371352499718345,0.710374999819838
"Nod_count:Strain025",-0.0928203044524311,0.12007302412558,-0.773032120481567,0.439503371391653
"Nod_count:Strain026",-0.123436214882706,0.136807165553817,-0.902264251898041,0.366916510581801
"Nod_count:Strain028",-0.112142142178565,0.199267816559848,-0.562770968812642,0.57359085130676
"Nod_count:Strain029",-0.00183216197119606,0.228450744888207,-0.00801994308266594,0.993601079831774
"Nod_count:Strain030",-0.0831793363642647,0.114907304240847,-0.723882062274474,0.469138143310196
"Nod_count:Strain031",-0.126098343880038,0.132806987219368,-0.949485765171014,0.342373608470344
"Nod_count:Strain032",-0.0862244296875233,0.116952399055036,-0.737260888910432,0.460963711713295
"Nod_count:Strain033",-0.0703500049995918,0.112169400684006,-0.627176436448795,0.530543587333615
"Nod_count:Strain034",-0.107484778929098,0.117038278288546,-0.918372864851146,0.358423691851745
"Nod_count:Strain035",-0.0838218492427679,0.125608877196939,-0.667324245812227,0.504565042506026
"Nod_count:Strain037",-0.0768571068922259,0.115216879146058,-0.667064647661526,0.504730840358826
"Nod_count:Strain038",-0.0672296350949414,0.146071372518769,-0.460251957215662,0.645335380985576
"Nod_count:Strain039",-0.146636985431711,0.185442155598058,-0.790742455289096,0.429094296002796
"Nod_count:Strain041",-0.111043581877938,0.206394609811425,-0.538015900606096,0.590566071181179
"Nod_count:Strain042",-0.0640012570916561,0.172928891566335,-0.370101586333856,0.711306800185634
"Nod_count:Strain043",-0.141819705736364,0.150398472655212,-0.942959747081247,0.345701492513803
"Nod_count:Strain044",-0.15718874205421,0.141174669020276,-1.11343446487297,0.26552187983541
"Nod_count:Strain045",-0.136517186035791,0.180873573466437,-0.754765792588948,0.450389522149841
"Nod_count:Strain046",-0.120652762633763,0.122140289469444,-0.987821161697403,0.323240241719822
"Nod_count:Strain047",-0.0765675813149584,0.109196640889827,-0.701189896420077,0.483184514334624
"Nod_count:Strain048",-0.0846330630121107,0.157738003836932,-0.536541993390531,0.591584021479361
"Nod_count:Strain049",-0.116706236037819,0.174020555105492,-0.670646269155222,0.502445899437707
"Nod_count:Strain050",-0.0589078515881803,0.323243101520354,-0.182240088995282,0.855394313259654
"Nod_count:Strain052",-0.0681142557344068,0.113099247543958,-0.602252068104458,0.547006361342673
"Nod_count:Strain053",-0.0549177242654649,0.142347166165828,-0.385801317614489,0.699643819395024
"Nod_count:Strain054",-0.0761403320492318,0.10433507983323,-0.729767324383467,0.46553242077192
"Nod_count:Strain055",-0.137571333329473,0.14448636143031,-0.95214061706321,0.34102567234632
"Nod_count:Strain056",-0.0742949696527787,0.133182066579083,-0.557845148082775,0.576950130079555
"Nod_count:Strain057",-0.110033733901429,0.128152403402851,-0.858616233325989,0.390552279001089
"Nod_count:Strain058",-0.14060951647181,0.129691622284725,-1.08418349616382,0.278283447691813
"Nod_count:Strain059",-0.0575724806308181,0.3635756871959,-0.158350744173378,0.874180424437936
"Nod_count:Strain060",-0.0649513387473225,0.119378565505499,-0.544078733667901,0.586387294025654
"Nod_count:Strain062",-0.112536117405407,0.161321229559428,-0.697590253389128,0.485433478671637
"Nod_count:Strain063",-0.111489435625362,0.135876883086076,-0.820518053499471,0.411920841738241
"Nod_count:Strain064",-0.0415666154279336,0.183770132896161,-0.226188090376039,0.82105513310668
"Nod_count:Strain065",-0.0975067913406369,0.114512117549911,-0.851497583198018,0.394493005276275
"Nod_count:Strain067",-0.0884397340043274,0.186595073738117,-0.473966071196772,0.635524102152438
"Nod_count:Strain068",-0.136244251604536,0.164850112964625,-0.826473510720448,0.408535538452436
"Nod_count:Strain069",-0.0881642686231254,0.136089621354329,-0.647839767248505,0.517088591592349
