Strain,Variety,Source_variety,Rep,Label,Tray,Slot,Location,Plantarea_3weeks_cm^2,Chloro_1,Chloro_2,Chloro_3,Chloro_4,Chloro_5,Chloro_check,Chloro_avg,Rootweight_g,Shootweight_g,Nod_lobe,Nod_unlobed,Nodule_Picker,Morphology,NOTES
087,S,VL,a,087_S_a,22,B,22-B,4.386966825,12.7,26.4,10.6,25.9,26.2,3.75,20.36,0.251,0.385,15,37,MAG,R,
087,O,VL,a,087_O_a,24,I,24-I,4.404328258,34.2,33.3,30.9,38.5,33.7,0.29,34.12,0.283,0.478,25,29,LTB,R,
087,V,VL,a,087_V_a,36,B,36-B,3.880190998,10.8,22.4,4.7,34.5,38.3,9.58,22.14,0.196,0.384,15,21,EMB,R,
087,S,VL,b,087_S_b,43,H,43-H,5.445726872,6.1,40,42,36.1,47.1,9.1,34.26,0.41,0.546,18,45,ELP,R,
087,O,VL,b,087_O_b,51,E,51-E,3.974811915,4.6,23.9,2.4,3.9,38.4,11.9,14.64,0.265,0.556,20,11,ELP,R,
087,V,VL,b,087_V_b,65,I,65-I,1.619504621,NA,36.7,NA,36.1,38.9,0,37.23333333,0.236,0.377,12,7,EMB,R,
087,V,VL,c,087_V_c,82,B,82-B,3.912590997,4.4,40.8,42.5,10.9,38,15.94,27.32,0.435,0.558,16,95,MAG,R,
087,O,VL,c,087_O_c,86,G,86-G,0,7.7,1,30.8,31.7,32.4,13.98,20.72,0.169,0.369,10,5,MAG,R,
087,S,VL,c,087_S_c,106,H,106-H,2.322130979,1,3.6,53.9,3.6,20.8,42.26,16.58,0.257,0.246,5,86,MAG,R,
087,O,VL,d,087_O_d,114,J,114-J,1.402281835,5.2,1.7,32,31.4,30,15.26,20.06,0.069,0.217,NA,NA,NA,R,Missing information
087,S,VL,d,087_S_d,124,B,124-B,0,1,1,1,1,0.9,0,0.98,NA,NA,NA,NA,,R,DEAD
087,V,VL,d,087_V_d,142,J,142-J,4.087288927,5.3,9.7,47.5,16.3,45.2,18.47,24.8,0.38,0.51,14,68,LTB,R,
088,V,VL,a,088_V_a,23,D,23-D,0.63380338,8.5,7.2,15.9,2.8,12.5,3.45,9.38,0.078,0.199,6,15,EMB,R,
088,O,VL,a,088_O_a,28,J,28-J,0,1,NA,1,1,0.9,0,0.975,NA,NA,NA,NA,NA,R,DEAD
088,S,VL,a,088_S_a,29,E,29-E,4.207219706,1.6,11.2,48.2,52.9,51.5,23.49,33.08,0.279,0.458,15,11,NA,R,
088,S,VL,b,088_S_b,40,H,40-H,3.671281985,25.9,43.7,31.9,37.6,45.7,1.67,36.96,0.378,0.596,25,21,EMB,R,
088,O,VL,b,088_O_b,43,F,43-F,0.785022026,19.7,33.1,34.9,35.1,30.9,1.78,30.74,0.198,0.3,12,8,ELP,R,
088,V,VL,b,088_V_b,72,F,72-F,3.334446764,12.1,9.3,4.7,1.9,32.6,2.98,12.12,0.275,0.364,11,30,EMB,R,
088,O,VL,c,088_O_c,74,J,74-J,2.917988582,36.4,25.3,40.9,37.5,42.4,1.3,36.5,0.118,0.317,29,28,LTB,R,
088,V,VL,c,088_V_c,84,A,84-A,3.825003607,38.9,NA,5.3,12,18.4,16.88,18.65,0.453,0.472,21,62,MAG,R,
088,S,VL,c,088_S_c,102,D,102-D,6.031601544,22.9,8.8,3.6,7.1,25.9,6.79,13.66,0.507,0.627,35,83,MAG,R,
088,O,VL,d,088_O_d,110,J,110-J,2.64759744,18.2,17.6,30.4,35.6,39.8,3.17,28.32,0.13,0.279,6,12,EMB,R,
088,S,VL,d,088_S_d,114,B,114-B,0,1.1,1,1,1,0.9,0,1,NA,NA,NA,NA,,R,DEAD
088,V,VL,d,088_V_d,144,C,144-C,5.335656182,44,22.7,31.7,39.5,30.5,2.54,33.68,0.267,0.502,27,36,LTB,R,
089,V,VL,a,089_V_a,16,I,16-I,3.448124815,15.3,17.2,29.1,34.6,41.3,3.61,27.5,0.285,0.444,13,11,EMB,R,
089,O,VL,a,089_O_a,35,B,35-B,2.355065321,18,NA,19.9,22.6,21.5,0.26,20.5,0.13,0.237,9,10,EMB,R,
089,S,VL,a,089_S_a,36,J,36-J,2.28350402,,19.6,33.3,1.9,39.7,13.57,23.625,0.137,0.308,18,65,EMB,R,
089,S,VL,b,089_S_b,37,G,37-G,3.83196249,17.9,36.3,49.7,40.7,41.3,4.96,37.18,0.327,0.47,17,26,EMB,R,
089,O,VL,b,089_O_b,63,C,63-C,2.524812256,28.3,26,29.1,24.7,34.3,0.15,28.48,0.162,0.312,11,27,EMB,R,
089,V,VL,b,089_V_b,64,I,64-I,3.249731111,10.6,3.8,9.8,3.4,4.1,2.12,6.34,0.179,0.412,17,23,EMB,R,
089,S,VL,c,089_S_c,89,I,89-I,0.3685661,3.8,8.7,21.7,4.3,6.8,7.24,9.06,0.024,0.069,4,28,ELP,R,
089,O,VL,c,089_O_c,93,E,93-E,2.900059119,27.7,19.2,35.6,29.3,25.2,1.63,27.4,0.204,0.357,18,26,EMB,R,
089,V,VL,c,089_V_c,98,J,98-J,2.223840356,25.5,12.9,36.9,37.8,20.9,4.82,26.8,0.183,0.406,14,22,EMB,R,
089,V,VL,d,089_V_d,112,J,112-J,0,9.4,6.2,2.4,10.2,27.9,1.79,11.22,0.109,0.142,12,13,ELP,R,
089,O,VL,d,089_O_d,127,H,127-H,4.144513442,31.4,29.7,40.4,39,34.9,0.82,35.08,0.276,0.375,20,42,ELP,R,
089,S,VL,d,089_S_d,139,E,139-E,0,1.1,1,1,1,0.9,0,1,NA,NA,NA,NA,,R,DEAD
090,V,VL,a,090_V_a,2,G,2-G,1.485279333,18.4,22.3,18.8,22,29,0.21,22.1,0.102,0.293,7,40,ELP,R,
090,S,VL,a,090_S_a,6,G,6-G,0,1,1,1,1,0.9,0,0.98,NA,NA,NA,NA,NA,R,DEAD
090,O,VL,a,090_O_a,32,B,32-B,0.430860534,1.1,2.3,11.1,2.2,12.4,5.18,5.82,0.043,0.095,9,10,EMB,R,
090,O,VL,b,090_O_b,40,G,40-G,1.772310675,35.9,37.3,34.6,25.8,27.5,0.8,32.22,0.222,0.346,11,9,LTB,R,
090,V,VL,b,090_V_b,56,F,56-F,2.052796526,31.5,3.6,24.9,26.4,34.2,7.04,24.12,0.134,0.345,10,7,EMB,R,
090,S,VL,b,090_S_b,60,F,60-F,2.760896422,37.2,27.6,33.1,7.5,25.6,6.58,26.2,0.17,0.359,9,24,EMB,R,
090,S,VL,c,090_S_c,73,F,73-F,1.603056927,25,NA,33.8,9.4,43.6,6.72,27.95,0.133,0.303,14,23,LTB,R,
090,V,VL,c,090_V_c,89,J,89-J,1.216853157,7,9.4,26.6,19.1,32.8,5.27,18.98,0.123,0.212,13,9,ELP,R,
090,O,VL,c,090_O_c,105,H,105-H,2.565305225,1.9,16.3,20.3,1.7,20.3,9.3,12.1,0.128,0.288,7,24,MAG,R,
090,O,VL,d,090_O_d,125,H,125-H,1.516015664,18.1,25.2,29.3,25.5,27.6,0.89,25.14,0.142,0.255,6,1,EMB,R,
090,V,VL,d,090_V_d,132,F,132-F,1.762729915,32.4,15.5,3.7,33.2,5.2,9.56,18,0.257,0.3,18,4,SVG,R,
090,S,VL,d,090_S_d,143,E,143-E,0,1.1,1,1,1,0.9,0,1,NA,NA,NA,NA,,R,DEAD
091,S,ON,a,091_S_a,9,I,9-I,3.243097711,47.1,28.9,9.6,26.8,35.6,8.37,29.6,0.171,0.283,6,37,EMB,R,
091,O,ON,a,091_O_a,13,F,13-F,2.178069255,1.7,9.7,5.8,16.3,16.9,4.61,10.08,0.15,0.202,12,17,MAG,R,
091,V,ON,a,091_V_a,22,F,22-F,2.907836248,32.7,24,3.9,26.4,34.6,7.13,24.32,0.158,0.276,12,26,EMB,R,
091,V,ON,b,091_V_b,40,C,40-C,0.702731972,19.7,8,18.2,11.9,17.5,2.07,15.06,0.077,0.105,13,25,LTB,R,
091,O,ON,b,091_O_b,62,B,62-B,1.033789887,3.4,2.3,,3.1,22.4,0.11,7.8,0.022,0.085,4,24,EMB,R,
091,S,ON,b,091_S_b,69,E,69-E,0,2.8,1.1,0.9,1,1,0.56,1.36,NA,NA,NA,NA,NA,R,DEAD
091,O,ON,c,091_O_c,93,D,93-D,3.48241206,20.2,27.9,33.5,27.8,34.8,1.09,28.84,0.16,0.201,3,35,EMB,R,
091,V,ON,c,091_V_c,97,H,97-H,3.61041543,31.5,15.7,17.6,6.1,23.6,6.19,18.9,0.182,0.251,10,12,MAG,R,
091,S,ON,c,091_S_c,104,A,104-A,4.079225262,20.1,19.9,7.6,27.9,30.4,3.73,21.18,0.196,0.312,9,49,MAG,R,
091,V,ON,d,091_V_d,118,H,118-H,2.372703979,7.3,29.5,15.7,16.2,17.3,4.9,17.2,0.14,0.27,12,22,ELP,R,
091,S,ON,d,091_S_d,120,A,120-A,0,1,1,1,1,1,0,1,NA,NA,NA,NA,,R,
091,O,ON,d,091_O_d,135,E,135-E,2.002063381,41,40.2,54.7,20.9,53.4,4.93,42.04,0.14,0.252,0,10,SVG,R,
